"104879","16777472","16778239","1.0.1.0","1.0.3.255","福建","未知",""
"104880","16779264","16781311","1.0.8.0","1.0.15.255","广东","未知",""
"104881","16785408","16793599","1.0.32.0","1.0.63.255","广东","未知",""
"104882","16842752","16843007","1.1.0.0","1.1.0.255","福建","未知",""
"104883","16843264","16844799","1.1.2.0","1.1.7.255","福建","未知",""
"104885","16845056","16859135","1.1.9.0","1.1.63.255","广东","未知",""
"104886","16908288","16908799","1.2.0.0","1.2.1.255","福建","未知",""
"104889","16909824","16910335","1.2.6.0","1.2.7.255","福建","未知",""
"104891","16910592","16912383","1.2.9.0","1.2.15.255","广东","未知",""
"104893","16912640","16941055","1.2.17.0","1.2.127.255","广东","未知",""
"104894","16973824","17039359","1.3.0.0","1.3.255.255","广东","未知",""
"104895","17039616","17039871","1.4.1.0","1.4.1.255","福建","未知",""
"104897","17040128","17040383","1.4.3.0","1.4.3.255","福建","未知",""
"104898","17040384","17040639","1.4.4.0","1.4.4.255","中国","未知",""
"104899","17040640","17041407","1.4.5.0","1.4.7.255","福建","未知",""
"104900","17041408","17072127","1.4.8.0","1.4.127.255","广东","未知",""
"104901","17301504","17301759","1.8.0.0","1.8.0.255","中国","未知",""
"104903","17302016","17303551","1.8.2.0","1.8.7.255","中国","未知",""
"104905","17303808","17327359","1.8.9.0","1.8.100.255","中国","未知",""
"104909","17328896","17339903","1.8.107.0","1.8.149.255","中国","未知",""
"104914","17340928","17362431","1.8.154.0","1.8.237.255","中国","未知",""
"104921","17363968","17367039","1.8.244.0","1.8.255.255","中国","未知",""
"104923","17432576","17434623","1.10.0.0","1.10.7.255","广东","未知",""
"104924","17434624","17435135","1.10.8.0","1.10.9.255","福建","未知",""
"104925","17435392","17436671","1.10.11.0","1.10.15.255","福建","未知",""
"104926","17436672","17465343","1.10.16.0","1.10.127.255","广东","未知",""
"105011","18535424","18536447","1.26.212.0","1.26.215.255","内蒙古","未知",""
"105043","18611200","18612223","1.27.252.0","1.27.255.255","内蒙古","未知",""
"105060","18641920","18642943","1.28.116.0","1.28.119.255","内蒙古","未知",""
"105171","18824448","18824703","1.31.61.0","1.31.61.255","内蒙古","未知",""
"105196","18849280","18849791","1.31.158.0","1.31.159.255","内蒙古","未知",""
"105282","20054016","20070399","1.50.0.0","1.50.63.255","宁夏","未知",""
"105283","20070400","20074495","1.50.64.0","1.50.79.255","宁夏","未知",""
"105291","20119552","20119807","1.51.0.0","1.51.0.255","中国","未知",""
"105292","20119808","20119808","1.51.1.0","1.51.1.0","中国","未知",""
"105294","20119810","20119812","1.51.1.2","1.51.1.4","中国","未知",""
"105296","20119814","20120063","1.51.1.6","1.51.1.255","中国","未知",""
"105297","20120064","20120319","1.51.2.0","1.51.2.255","中国","未知",""
"105298","20120320","20120575","1.51.3.0","1.51.3.255","中国","未知",""
"105299","20120576","20120831","1.51.4.0","1.51.4.255","中国","未知",""
"105300","20120832","20120832","1.51.5.0","1.51.5.0","中国","未知",""
